UEFA CHAMPIONS LEAGUE COMPREHENSIVE STATISTICS (2022-2025)

SECTION 1: 2024-25 SEASON - LEAGUE PHASE STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Liverpool,8,7,0,1,17,5,12,21,Round of 16
2,Barcelona,8,6,1,1,28,13,15,19,Round of 16
3,Arsenal,8,6,1,1,16,3,13,19,Round of 16
4,Inter,8,6,1,1,11,1,10,19,Round of 16
5,Atletico Madrid,8,6,0,2,20,12,8,18,Round of 16
6,Bayer Leverkusen,8,5,1,2,15,7,8,16,Round of 16
7,Lille,8,5,1,2,17,10,7,16,Round of 16
8,Aston Villa,8,5,1,2,13,6,7,16,Round of 16
9,Atalanta,8,4,3,1,20,6,14,15,Round of 16
10,Borussia Dortmund,8,5,0,3,22,12,10,15,Round of 16
11,Real Madrid,8,5,0,3,20,12,8,15,Round of 16
12,Bayern Munich,8,5,0,3,20,12,8,15,Round of 16
13,AC Milan,8,5,0,3,14,11,3,15,Round of 16
14,PSV Eindhoven,8,4,2,2,16,12,4,14,Knockout phase play-offs
15,Paris Saint-Germain,8,4,1,3,14,9,5,13,Knockout phase play-offs
16,Benfica,8,4,1,3,16,12,4,13,Knockout phase play-offs
17,Monaco,8,4,1,3,13,13,0,13,Knockout phase play-offs
18,Brest,8,4,1,3,10,11,-1,13,Knockout phase play-offs
19,Feyenoord,8,4,1,3,18,21,-3,13,Knockout phase play-offs
20,Juventus,8,3,3,2,9,7,2,12,Knockout phase play-offs

SECTION 2: 2023-24 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Real Madrid,12,9,1,2,27,13,14,28,Winners
2,Bayern Munich,10,8,1,1,22,6,16,25,Semi-finals
3,Borussia Dortmund,10,6,2,2,15,9,6,20,Finalists
4,Paris Saint-Germain,10,5,2,3,19,14,5,17,Semi-finals
5,Manchester City,8,6,0,2,18,7,11,18,Quarter-finals
6,Arsenal,8,4,1,3,16,4,12,13,Quarter-finals
7,Atletico Madrid,8,4,2,2,17,6,11,14,Quarter-finals
8,Barcelona,8,4,0,4,12,6,6,12,Quarter-finals
9,Inter,8,3,3,2,8,5,3,12,Round of 16
10,RB Leipzig,8,4,0,4,13,10,3,12,Round of 16
11,Napoli,8,3,1,4,10,9,1,10,Round of 16
12,PSV Eindhoven,8,2,3,3,8,10,-2,9,Round of 16
13,Lazio,8,3,1,4,7,7,0,10,Round of 16
14,Copenhagen,8,2,2,4,8,8,0,8,Round of 16
15,Porto,8,4,0,4,15,8,7,12,Round of 16
16,Real Sociedad,8,3,3,2,7,2,5,12,Round of 16
17,AC Milan,8,3,1,4,12,7,5,10,Round of 16
18,Galatasaray,6,1,2,3,10,13,-3,5,Group Stage
19,Newcastle United,6,1,2,3,6,7,-1,5,Group Stage
20,Manchester United,6,1,1,4,12,15,-3,4,Group Stage

SECTION 3: 2022-23 SEASON - GROUP STAGE & KNOCKOUT STANDINGS (TOP 20)
Rank,Team,Matches,Wins,Draws,Losses,GF,GA,GD,Points,Notes
1,Manchester City,13,8,5,0,32,5,27,29,Winners
2,Inter,13,7,3,3,19,11,8,24,Finalists
3,Real Madrid,12,8,2,2,26,13,13,26,Semi-finals
4,AC Milan,12,5,3,4,15,11,4,18,Semi-finals
5,Bayern Munich,10,8,1,1,22,6,16,25,Quarter-finals
6,Napoli,10,7,1,2,26,8,18,22,Quarter-finals
7,Benfica,10,6,3,1,26,13,13,21,Quarter-finals
8,Chelsea,10,5,1,4,12,9,3,16,Quarter-finals
9,Liverpool,8,5,0,3,19,12,7,15,Round of 16
10,Paris Saint-Germain,8,4,2,2,16,10,6,14,Round of 16
11,Porto,8,4,1,3,12,8,4,13,Round of 16
12,RB Leipzig,8,4,1,3,14,17,-3,13,Round of 16
13,Borussia Dortmund,8,3,3,2,11,7,4,12,Round of 16
14,Tottenham,8,3,3,2,8,7,1,12,Round of 16
15,Club Brugge,8,3,2,3,8,11,-3,11,Round of 16
16,Eintracht Frankfurt,8,3,1,4,7,13,-6,10,Round of 16
17,Barcelona,6,2,1,3,12,12,0,7,Group Stage
18,Atletico Madrid,6,1,2,3,5,9,-4,5,Group Stage
19,Ajax,6,2,0,4,11,16,-5,6,Group Stage
20,Juventus,6,1,0,5,9,13,-4,3,Group Stage

SECTION 4: 2024-25 SEASON - ALL LEAGUE PHASE MATCH RESULTS
Matchday,Date,Home Team,Away Team,Score,Winner
4,2024-11-06,Sparta Prague,Brest,'1-2,Brest
4,2024-11-06,Bayern Munich,Benfica,'1-0,Bayern Munich
4,2024-11-06,Inter,Arsenal,'1-0,Inter
4,2024-11-06,Feyenoord,RB Salzburg,'1-3,RB Salzburg
4,2024-11-06,Red Star Belgrade,Barcelona,'2-5,Barcelona
4,2024-11-06,Paris Saint-Germain,Atletico Madrid,'1-2,Atletico Madrid
4,2024-11-06,VfB Stuttgart,Atalanta,'0-2,Atalanta
5,2024-11-26,Sparta Prague,Atletico Madrid,'0-6,Atletico Madrid
5,2024-11-26,Slovan Bratislava,AC Milan,'2-3,AC Milan
5,2024-11-26,Bayer Leverkusen,RB Salzburg,'5-0,Bayer Leverkusen
5,2024-11-26,Young Boys,Atalanta,'1-6,Atalanta
5,2024-11-26,Barcelona,Brest,'3-0,Barcelona
5,2024-11-26,Bayern Munich,Paris Saint-Germain,'1-0,Bayern Munich
5,2024-11-26,Inter,RB Leipzig,'1-0,Inter
5,2024-11-26,Manchester City,Feyenoord,'3-3,Draw
5,2024-11-26,Sporting CP,Arsenal,'1-5,Arsenal
5,2024-11-27,Red Star Belgrade,VfB Stuttgart,'5-1,Red Star Belgrade
5,2024-11-27,Sturm Graz,Girona,'1-0,Sturm Graz
5,2024-11-27,Monaco,Benfica,'2-3,Benfica
5,2024-11-27,Aston Villa,Juventus,'0-0,Draw
5,2024-11-27,Bologna,Lille,'1-2,Lille
5,2024-11-27,Celtic,Club Brugge,'1-1,Draw
5,2024-11-27,Dinamo Zagreb,Borussia Dortmund,'0-3,Borussia Dortmund
5,2024-11-27,Liverpool,Real Madrid,'2-0,Liverpool
5,2024-11-27,PSV Eindhoven,Shakhtar Donetsk,'3-2,PSV Eindhoven
6,2024-12-10,Girona,Liverpool,'0-1,Liverpool
6,2024-12-10,Dinamo Zagreb,Celtic,'0-0,Draw
6,2024-12-10,Atalanta,Real Madrid,'2-3,Real Madrid
6,2024-12-10,Bayer Leverkusen,Inter,'1-0,Bayer Leverkusen
6,2024-12-10,Club Brugge,Sporting CP,'2-1,Club Brugge
6,2024-12-10,RB Salzburg,Paris Saint-Germain,'0-3,Paris Saint-Germain
6,2024-12-10,Shakhtar Donetsk,Bayern Munich,'1-5,Bayern Munich
6,2024-12-10,RB Leipzig,Aston Villa,'2-3,Aston Villa
6,2024-12-10,Brest,PSV Eindhoven,'1-0,Brest
6,2024-12-11,Atletico Madrid,Slovan Bratislava,'3-1,Atletico Madrid
6,2024-12-11,Lille,Sturm Graz,'3-2,Lille
6,2024-12-11,AC Milan,Red Star Belgrade,'2-1,AC Milan
6,2024-12-11,Arsenal,Monaco,'3-0,Arsenal
6,2024-12-11,Borussia Dortmund,Barcelona,'2-3,Barcelona
6,2024-12-11,Feyenoord,Sparta Prague,'4-2,Feyenoord
6,2024-12-11,Juventus,Manchester City,'2-0,Juventus
6,2024-12-11,Benfica,Bologna,'0-0,Draw
6,2024-12-11,VfB Stuttgart,Young Boys,'5-1,VfB Stuttgart
7,2025-01-21,Monaco,Aston Villa,'1-0,Monaco
7,2025-01-21,Atalanta,Sturm Graz,'5-0,Atalanta
7,2025-01-21,Atletico Madrid,Bayer Leverkusen,'2-1,Atletico Madrid
7,2025-01-21,Bologna,Borussia Dortmund,'2-1,Bologna
7,2025-01-21,Club Brugge,Juventus,'0-0,Draw
7,2025-01-21,Red Star Belgrade,PSV Eindhoven,'2-3,PSV Eindhoven
7,2025-01-21,Liverpool,Lille,'2-1,Liverpool
7,2025-01-21,Slovan Bratislava,VfB Stuttgart,'1-3,VfB Stuttgart
7,2025-01-21,Benfica,Barcelona,'4-5,Barcelona
7,2025-01-22,Shakhtar Donetsk,Brest,'2-0,Shakhtar Donetsk
7,2025-01-22,RB Leipzig,Sporting CP,'2-1,RB Leipzig
7,2025-01-22,AC Milan,Girona,'1-0,AC Milan
7,2025-01-22,Sparta Prague,Inter,'0-1,Inter
7,2025-01-22,Arsenal,Dinamo Zagreb,'3-0,Arsenal
7,2025-01-22,Celtic,Young Boys,'1-0,Celtic
7,2025-01-22,Feyenoord,Bayern Munich,'3-0,Feyenoord
7,2025-01-22,Paris Saint-Germain,Manchester City,'4-2,Paris Saint-Germain
7,2025-01-22,Real Madrid,RB Salzburg,'5-1,Real Madrid
8,2025-01-29,Aston Villa,Celtic,'4-2,Aston Villa
8,2025-01-29,Bayer Leverkusen,Sparta Prague,'2-0,Bayer Leverkusen
8,2025-01-29,Borussia Dortmund,Shakhtar Donetsk,'3-1,Borussia Dortmund
8,2025-01-29,Young Boys,Red Star Belgrade,'0-1,Red Star Belgrade
8,2025-01-29,Barcelona,Atalanta,'2-2,Draw
8,2025-01-29,Bayern Munich,Slovan Bratislava,'3-1,Bayern Munich
8,2025-01-29,Inter,Monaco,'3-0,Inter
8,2025-01-29,RB Salzburg,Atletico Madrid,'1-4,Atletico Madrid
8,2025-01-29,Girona,Arsenal,'1-2,Arsenal
8,2025-01-29,Dinamo Zagreb,AC Milan,'2-1,Dinamo Zagreb
8,2025-01-29,Juventus,Benfica,'0-2,Benfica
8,2025-01-29,Lille,Feyenoord,'6-1,Lille
8,2025-01-29,Manchester City,Club Brugge,'3-1,Manchester City
8,2025-01-29,PSV Eindhoven,Liverpool,'3-2,PSV Eindhoven
8,2025-01-29,Sturm Graz,RB Leipzig,'1-0,Sturm Graz
8,2025-01-29,Sporting CP,Bologna,'1-1,Draw
8,2025-01-29,Brest,Real Madrid,'0-3,Real Madrid
8,2025-01-29,VfB Stuttgart,Paris Saint-Germain,'1-4,Paris Saint-Germain

SECTION 5: 2024-25 SEASON - KNOCKOUT STAGE RESULTS
Round,Date,Home Team,Away Team,Score,Aggregate,Winner
Knockout Play-off,2025-02-11,Brest,Paris Saint-Germain,'0-3,'0-10,Paris Saint-Germain
Knockout Play-off,2025-02-11,Juventus,PSV Eindhoven,'2-1,'3-4,PSV Eindhoven
Knockout Play-off,2025-02-11,Manchester City,Real Madrid,'2-3,'3-6,Real Madrid
Knockout Play-off,2025-02-11,Sporting CP,Borussia Dortmund,'0-3,'0-3,Borussia Dortmund
Knockout Play-off,2025-02-12,Club Brugge,Atalanta,'2-1,'5-2,Club Brugge
Knockout Play-off,2025-02-12,Monaco,Benfica,'0-1,'3-4,Benfica
Knockout Play-off,2025-02-12,Celtic,Bayern Munich,'1-2,'2-3,Bayern Munich
Knockout Play-off,2025-02-12,Feyenoord,AC Milan,'1-0,'2-1,Feyenoord
Round of 16,2025-03-04,Club Brugge,Aston Villa,'1-3,'1-6,Aston Villa
Round of 16,2025-03-04,Borussia Dortmund,Lille,'1-1,'3-2,Borussia Dortmund
Round of 16,2025-03-04,PSV Eindhoven,Arsenal,'1-7,'3-9,Arsenal
Round of 16,2025-03-04,Real Madrid,Atletico Madrid,'2-1,'2-2 (4-2 pens),Real Madrid
Round of 16,2025-03-05,Feyenoord,Inter,'0-2,'2-4,Inter
Round of 16,2025-03-05,Bayern Munich,Bayer Leverkusen,'3-0,'5-0,Bayern Munich
Round of 16,2025-03-05,Benfica,Barcelona,'0-1,'1-4,Barcelona
Round of 16,2025-03-05,Paris Saint-Germain,Liverpool,'0-1,'1-1 (4-1 pens),Paris Saint-Germain
Quarter-final,2025-04-08,Arsenal,Real Madrid,'3-0,'5-1,Arsenal
Quarter-final,2025-04-08,Bayern Munich,Inter,'1-2,'3-4,Inter
Quarter-final,2025-04-09,Paris Saint-Germain,Aston Villa,'3-1,'5-4,Paris Saint-Germain
Quarter-final,2025-04-09,Barcelona,Borussia Dortmund,'4-0,'5-3,Barcelona
Semi-final,2025-04-29,Arsenal,Paris Saint-Germain,'0-1,'1-3,Paris Saint-Germain
Semi-final,2025-04-30,Barcelona,Inter,'3-3,'6-7,Inter
Final,2025-05-31,Paris Saint-Germain,Inter,'5-0,,Paris Saint-Germain

SECTION 6: 2023-24 SEASON - ALL GROUP STAGE MATCH RESULTS
Group,Matchday,Date,Home Team,Away Team,Score,Winner
A,1,2023-09-20,Galatasaray,Copenhagen,'2-2,Draw
A,1,2023-09-20,Bayern Munich,Manchester United,'4-3,Bayern Munich
A,2,2023-10-03,Manchester United,Galatasaray,'2-3,Galatasaray
A,2,2023-10-03,Copenhagen,Bayern Munich,'1-2,Bayern Munich
A,3,2023-10-24,Galatasaray,Bayern Munich,'1-3,Bayern Munich
A,3,2023-10-24,Manchester United,Copenhagen,'1-0,Manchester United
A,4,2023-11-08,Bayern Munich,Galatasaray,'2-1,Bayern Munich
A,4,2023-11-08,Copenhagen,Manchester United,'4-3,Copenhagen
A,5,2023-11-29,Galatasaray,Manchester United,'3-3,Draw
A,5,2023-11-29,Bayern Munich,Copenhagen,'0-0,Draw
A,6,2023-12-12,Manchester United,Bayern Munich,'0-1,Bayern Munich
A,6,2023-12-12,Copenhagen,Galatasaray,'1-0,Copenhagen
B,1,2023-09-20,Sevilla,Lens,'1-1,Draw
B,1,2023-09-20,Arsenal,PSV Eindhoven,'4-0,Arsenal
B,2,2023-10-03,PSV Eindhoven,Sevilla,'2-2,Draw
B,2,2023-10-03,Lens,Arsenal,'2-1,Lens
B,3,2023-10-24,Sevilla,Arsenal,'1-2,Arsenal
B,3,2023-10-24,Lens,PSV Eindhoven,'1-1,Draw
B,4,2023-11-08,Arsenal,Sevilla,'2-0,Arsenal
B,4,2023-11-08,PSV Eindhoven,Lens,'1-0,PSV Eindhoven
B,5,2023-11-29,Sevilla,PSV Eindhoven,'2-3,PSV Eindhoven
B,5,2023-11-29,Arsenal,Lens,'6-0,Arsenal
B,6,2023-12-12,PSV Eindhoven,Arsenal,'1-1,Draw
B,6,2023-12-12,Lens,Sevilla,'2-1,Lens
C,1,2023-09-20,Real Madrid,Union Berlin,'1-0,Real Madrid
C,1,2023-09-20,Braga,Napoli,'1-2,Napoli
C,2,2023-10-03,Union Berlin,Braga,'2-3,Braga
C,2,2023-10-03,Napoli,Real Madrid,'2-3,Real Madrid
C,3,2023-10-24,Braga,Real Madrid,'1-2,Real Madrid
C,3,2023-10-24,Union Berlin,Napoli,'0-1,Napoli
C,4,2023-11-08,Napoli,Union Berlin,'1-1,Draw
C,4,2023-11-08,Real Madrid,Braga,'3-0,Real Madrid
C,5,2023-11-29,Real Madrid,Napoli,'4-2,Real Madrid
C,5,2023-11-29,Braga,Union Berlin,'1-1,Draw
C,6,2023-12-12,Napoli,Braga,'2-0,Napoli
C,6,2023-12-12,Union Berlin,Real Madrid,'2-3,Real Madrid
D,1,2023-09-20,Benfica,RB Salzburg,'0-2,RB Salzburg
D,1,2023-09-20,Real Sociedad,Inter,'1-1,Draw
D,2,2023-10-03,RB Salzburg,Real Sociedad,'0-2,Real Sociedad
D,2,2023-10-03,Inter,Benfica,'1-0,Inter
D,3,2023-10-24,Inter,RB Salzburg,'2-1,Inter
D,3,2023-10-24,Benfica,Real Sociedad,'0-1,Real Sociedad
D,4,2023-11-08,Real Sociedad,Benfica,'3-1,Real Sociedad
D,4,2023-11-08,RB Salzburg,Inter,'0-1,Inter
D,5,2023-11-29,Benfica,Inter,'3-3,Draw
D,5,2023-11-29,Real Sociedad,RB Salzburg,'0-0,Draw
D,6,2023-12-12,Inter,Real Sociedad,'0-0,Draw
D,6,2023-12-12,RB Salzburg,Benfica,'1-3,Benfica
E,1,2023-09-19,Feyenoord,Celtic,'2-0,Feyenoord
E,1,2023-09-19,Lazio,Atletico Madrid,'1-1,Draw
E,2,2023-10-04,Atletico Madrid,Feyenoord,'3-2,Atletico Madrid
E,2,2023-10-04,Celtic,Lazio,'1-2,Lazio
E,3,2023-10-25,Feyenoord,Lazio,'3-1,Feyenoord
E,3,2023-10-25,Celtic,Atletico Madrid,'2-2,Draw
E,4,2023-11-07,Atletico Madrid,Celtic,'6-0,Atletico Madrid
E,4,2023-11-07,Lazio,Feyenoord,'1-0,Lazio
E,5,2023-11-28,Lazio,Celtic,'2-0,Lazio
E,5,2023-11-28,Feyenoord,Atletico Madrid,'1-3,Atletico Madrid
E,6,2023-12-13,Atletico Madrid,Lazio,'2-0,Atletico Madrid
E,6,2023-12-13,Celtic,Feyenoord,'2-1,Celtic
F,1,2023-09-19,AC Milan,Newcastle United,'0-0,Draw
F,1,2023-09-19,Paris Saint-Germain,Borussia Dortmund,'2-0,Paris Saint-Germain
F,2,2023-10-04,Borussia Dortmund,AC Milan,'0-0,Draw
F,2,2023-10-04,Newcastle United,Paris Saint-Germain,'4-1,Newcastle United
F,3,2023-10-25,Paris Saint-Germain,AC Milan,'3-0,Paris Saint-Germain
F,3,2023-10-25,Newcastle United,Borussia Dortmund,'0-1,Borussia Dortmund
F,4,2023-11-07,Borussia Dortmund,Newcastle United,'2-0,Borussia Dortmund
F,4,2023-11-07,AC Milan,Paris Saint-Germain,'2-1,AC Milan
F,5,2023-11-28,Paris Saint-Germain,Newcastle United,'1-1,Draw
F,5,2023-11-28,AC Milan,Borussia Dortmund,'1-3,Borussia Dortmund
F,6,2023-12-13,Borussia Dortmund,Paris Saint-Germain,'1-1,Draw
F,6,2023-12-13,Newcastle United,AC Milan,'1-2,AC Milan
G,1,2023-09-19,Young Boys,RB Leipzig,'1-3,RB Leipzig
G,1,2023-09-19,Manchester City,Red Star Belgrade,'3-1,Manchester City
G,2,2023-10-04,RB Leipzig,Manchester City,'1-3,Manchester City
G,2,2023-10-04,Red Star Belgrade,Young Boys,'2-2,Draw
G,3,2023-10-25,RB Leipzig,Red Star Belgrade,'3-1,RB Leipzig
G,3,2023-10-25,Young Boys,Manchester City,'1-3,Manchester City
G,4,2023-11-07,Manchester City,Young Boys,'3-0,Manchester City
G,4,2023-11-07,Red Star Belgrade,RB Leipzig,'1-2,RB Leipzig
G,5,2023-11-28,Manchester City,RB Leipzig,'3-2,Manchester City
G,5,2023-11-28,Young Boys,Red Star Belgrade,'2-0,Young Boys
G,6,2023-12-13,RB Leipzig,Young Boys,'2-1,RB Leipzig
G,6,2023-12-13,Red Star Belgrade,Manchester City,'2-3,Manchester City
H,1,2023-09-19,Barcelona,Antwerp,'5-0,Barcelona
H,1,2023-09-19,Shakhtar Donetsk,Porto,'1-3,Porto
H,2,2023-10-04,Antwerp,Shakhtar Donetsk,'2-3,Shakhtar Donetsk
